class,fold,amplitude_envelope,root_mean_square,zero_crossing_rate,mfcc,spectral_centroid,bandwidth
dog_bark,5,2.5011067,0.85973305,0.701484631675251,1114.7451,11002.153867171372,9055.166226660098
children_playing,5,0.20763576,0.07694757,2.7154218977469546,5759.2744,38984.71506911663,35987.44993860048
children_playing,5,0.14198396,0.056997657,1.999477318175537,6220.243,33621.214468117425,35413.73135881517
children_playing,5,0.2545674,0.09267064,2.646289055292365,5578.505,41672.17439089133,41306.24592276967
children_playing,5,0.15470709,0.060585294,2.3008832147927967,6048.3857,36180.50345897639,35524.6109211001
children_playing,5,0.17995471,0.0806928,1.5342353213377127,6056.1963,31940.974736916232,37222.56533405664
children_playing,5,0.12388224,0.05366531,1.4611803148816562,6409.091,32045.057295416216,38432.72566605578
children_playing,5,0.13788542,0.059890803,1.4554949067530207,6240.7495,32793.25367917359,39089.489756333176
children_playing,5,0.14960274,0.06516867,1.4049934707435587,6416.0977,29838.89378026953,34969.39756737522
car_horn,10,0.889928,0.32165608,0.939122131790093,1199.8594,17424.825032910667,19205.380268139903
car_horn,10,0.8388904,0.31004474,1.3477539027119865,1552.2885,21851.09757505042,22488.760976675356
car_horn,10,0.6344568,0.25861004,1.2417436682530274,973.6626,15490.573171203081,13843.50518679318
car_horn,10,0.9530522,0.33436656,1.9454330958477914,1875.5514,28718.868859996946,27942.477608706853
car_horn,10,6.3823566,4.0330896,2.654926284370143,1365.4603,40200.80031486161,33110.323586650346
dog_bark,2,4.153419,1.5516876,2.8626243597611016,4251.5107,40416.051107775194,33750.36444653127
dog_bark,2,4.059131,1.592861,2.9175562637251664,4498.4277,39600.0092179935,31171.231962149996
dog_bark,2,3.795898,1.4707438,2.905684221221747,4581.041,39783.555488042584,31788.034761537536
dog_bark,2,4.3837824,1.773119,2.8131930027293666,4611.995,38071.25020380754,29620.536551550595
dog_bark,10,4.5781035,2.0765774,2.713901449552076,4782.8325,41334.25793066527,34965.854989043306
dog_bark,10,3.9051764,1.5265317,2.411861861035733,5030.683,38535.6474014888,36257.881970003415
dog_bark,10,3.847621,1.4813098,2.450487018369464,5137.21,39866.72182158899,37428.68792070498
dog_bark,10,4.1348467,1.5369699,2.471346105810967,5054.6147,39000.375996332186,36160.8266192016
air_conditioner,5,5.3597336,1.8032032,3.504901723313778,1592.3271,50505.76292079775,41979.02763654405
air_conditioner,5,5.1552763,1.7867227,3.414075908154449,1431.9076,49576.170229119656,41846.70115093164
air_conditioner,5,5.576438,1.9158555,3.4682094393343506,1322.2986,51130.85010523293,43549.515028533046
air_conditioner,5,5.462519,1.9019957,3.473270254703344,1322.4386,51335.472649946314,43594.8021126833
air_conditioner,5,5.086619,1.7757401,3.507597714923467,1366.3524,51016.496655800314,43074.215939692964
air_conditioner,5,4.964581,1.7033838,3.5588006337365394,1386.6769,51051.884510167656,42822.545521173204
air_conditioner,5,4.934301,1.7083793,3.588869711946391,1384.628,51136.42421192916,42742.50190011942
air_conditioner,5,5.0073647,1.7491736,3.532706441388159,1387.5178,50833.08648596371,42763.82472057722
air_conditioner,5,5.106942,1.7508446,3.530292752583745,1380.8146,51163.594879637036,43011.65507192971
air_conditioner,5,5.114451,1.7500974,3.498197363806476,1377.767,51036.17462794008,43137.17536281411
air_conditioner,5,5.089997,1.7470536,3.5174338879367526,1382.0454,50720.100775027335,42983.44433867706
air_conditioner,5,5.076254,1.7381883,3.5062309387015302,1387.7164,50659.50622522161,42918.47679085536
air_conditioner,5,5.08378,1.7780006,3.419973742289437,1436.5519,49409.49940756262,41937.7955196668
air_conditioner,5,5.189352,1.7678261,3.4742849368976496,1361.0282,51368.126025628786,43601.55564573627
